name,location,cuisines,michelin_stars,average_price
Restaurant Hywel Jones at Lucknam Park,"Lucknam Park, Colerne, Chippenham, Wiltshire, SN14 8AZ",British,None,Over £80
Y Polyn,"Capel Dewi, Carmarthen, Carmarthenshire, SA32 7LH",Modern European,None,£30 - £49
Roth Bar & Grill,"Durslade Farm, Bruton, Somerset, BA10 0NL",British,None,£30 - £49
The Angel at Hetton,"Hetton, Near Skipton, North Yorkshire, BD23 6LT",Gastropub,None,£30 - £49
Carters of Moseley,"2c Wake Green Road, Birmingham, West Midlands, B13 9EZ",British,None,£30 - £49
The Ox Barn at Thyme,"Thyme, Lechlade, Gloucestershire, GL7 3NX",British,None,£30 - £49
The Burlington Restaurant at Devonshire Arms,"Bolton Abbey Estate, Skipton, North Yorkshire, BD23 6AJ",British,None,£50 - £79
Hambleton Hall,"Hambleton, Rutland, Leicestershire, LE15 8TH",British,One,£50 - £79
Adam's Restaurant,"New Oxford House, Birmingham, West Midlands, B2 5UG",British,One,£50 - £79
The Art School Restaurant,"1 Sugnall Street, Liverpool, Merseyside, L7 7EB",Modern European,None,£50 - £79
Dastaan,"447 Kingston Road, Epsom, London, KT19 0DB",Indian,None,Under £30
Hispi,"1c School Lane, Manchester, Greater Manchester, M20 6RD",British,None,£30 - £49
The Jetty Christchurch,"Christchurch Harbour Hotel & Spa, Christchurch, Dorset, BH23 3NT",Fish,None,£30 - £49
The Star Inn Harome,"High Street, Harome nr Helmsley, North Yorkshire, YO62 5JE",Gastropub,One,£30 - £49
Menu Gordon Jones,"2 Wellsway, Bath, Somerset, BA2 3AQ",Modern European,None,£30 - £49
The Ethicurean,"The Ethicurean, Barley Wood Walled Garden, Long Lane, , Bristol, BS40 5SA",British,None,£30 - £49
Crabshakk,"1114 Argyle Street, Glasgow, G3 8TD",Fish,None,Under £30
The Salt Room,"106 Kings Road, Brighton, East Sussex, BN1 2FU",British,None,£30 - £49
Frog and Scot,"86 High Street, Deal, Kent, CT14 6EG",French,None,£30 - £49
Bulrush Restaurant,"21 Cotham Road South, Bristol, Bristol, BS6 5TZ",British,One,£50 - £79
"The Coal Shed, Brighton","8 Boyces Street, Brighton, East Sussex, BN1 1AN",Steak,None,£30 - £49
The Clock House Ripley,"The Clock House, High St, Ripley, Woking , Ripley, Surrey, GU23 6AQ",Modern European,None,£50 - £79
The Boat Inn Lichfield,"Walsall Road, Lichfield, Staffordshire, WS14 0BU",British,None,£50 - £79
Apicius,"23 Stone Street, Tenterden, Kent, TN17 3HE",Modern European,None,£30 - £49
Read's,"Macknade Manor, Canterbury Road, Faversham, Kent, ME13 8XE",British,None,£50 - £79
Milsoms,"Stratford Road, Dedham, Essex, CO7 6HW",International,None,£30 - £49
